productName,orderMinimumQuantity,orderMaximumQuantity
Build your own computer,1,10000
Digital Storm VANQUISH Custom Performance PC,1,10000
Lenovo IdeaCentre,1,10000
Apple MacBook Pro,2,10000
Asus Laptop,1,10000
Samsung Premium Ultrabook,1,10000
HP Spectre XT Pro UltraBook,1,10000
HP Envy 15.6-Inch Sleekbook,1,10000
Lenovo Thinkpad Carbon Laptop,1,10000
Adobe Photoshop,1,10000
Microsoft Windows OS,1,10000
Sound Forge Pro (recurring),1,10000
Nikon D5500 DSLR,1,10000
Leica T Mirrorless Digital Camera,1,10000
Apple iCam,1,10000
HTC smartphone,1,10000
HTC One Mini Blue,1,10000
Nokia Lumia 1020,1,10000
Apple iPhone 16 128GB,1,10000
Samsung Galaxy S24 256GB,1,10000
Beats Pill Wireless Speaker,1,10000
Universal 7-8 Inch Tablet Cover,1,10000
Portable Sound Speakers,1,10000
Nike Floral Roshe Customized Running Shoes,1,10000
adidas Consortium Campus 80s Running Shoes,1,10000
Nike SB Zoom Stefan Janoski "Medium Mint",1,10000
Nike Tailwind Loose Short-Sleeve Running Shirt,1,10000
Oversized Women T-Shirt,1,10000
Custom T-Shirt,1,10000
Levi's 511 Jeans,1,10000
Obey Propaganda Hat,1,10000
Reversible Horseferry Check Belt,1,10000
Ray Ban Aviator Sunglasses,1,10000
Fahrenheit 451 by Ray Bradbury,1,10000
First Prize Pies,1,10000
Pride and Prejudice,1,10000
Elegant Gemstone Necklace (rental),1,10000
Flower Girl Bracelet,1,10000
Vintage Style Engagement Ring,1,10000
$25 Virtual Gift Card,1,10000
$50 Physical Gift Card,1,10000
$100 Physical Gift Card,1,10000
Night Visions,1,10000
If You Wait (donation),1,10000
